Kategori,Kode PTN,Nama PTN,Kota,Provinsi1,Provinsi2,Link Prodi
akademik,1722,"UNIVERSITAS NEGERI MANADO
(https://penerimaan.unima.ac.id/)",Kabupaten Minahasa,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=722
akademik,1731,"UNIVERSITAS TADULAKO
(https://pmb.untad.ac.id/)",Kota Palu,Sulawesi Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=731
akademik,1741,"UNIVERSITAS SULAWESI BARAT
(https://pmb.unsulbar.ac.id/)",Kabupaten Majene,Sulawesi Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=741
akademik,1751,"UNIVERSITAS HALUOLEO
(https://spmb.uho.ac.id/)",Kota Kendari,Sulawesi Tenggara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=751
akademik,1752,"UNIVERSITAS NEGERI GORONTALO
(https://pmb.ung.ac.id/)",Kota Gorontalo,Gorontalo,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=752
akademik,1753,"UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA
(https://spmb.usn.ac.id/)",Kabupaten Kolaka,Sulawesi Tenggara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=753
akademik,1811,"UNIVERSITAS PATTIMURA
(https://pmb.unpatti.ac.id)",Kota Ambon,Maluku,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=811
akademik,1821,"UNIVERSITAS KHAIRUN
(http://pmb.unkhair.ac.id/)",Kota Ternate,Maluku Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=821
akademik,1911,"UNIVERSITAS CENDERAWASIH
(https://pmb.uncen.ac.id)",Kota Jayapura,Papua,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=911
akademik,1912,"UNIVERSITAS MUSAMUS MERAUKE
(http://admisi.unmus.ac.id/)",Kabupaten Merauke,Papua Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=912
akademik,1913,"ISBI TANAH PAPUA
(https://www.pmb.isbi-tanahpapua.ac.id)",Kabupate Jayapura,Papua,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=913
akademik,1921,"UNIVERSITAS PAPUA
(https://bpak.unipa.ac.id/)",Kabupaten Manokwari,Papua Barat,Papua Barat Daya,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=921
