Kategori,Kode PTN,Nama PTN,Kota,Provinsi1,Provinsi2,Link Prodi
vokasi,2536,"POLITEKNIK NEGERI BANJARMASIN
(https://pmb.poliban.ac.id/)",Kota Banjarmasin,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=536
vokasi,2537,"POLITEKNIK NEGERI TANAH LAUT
(https://sinema.politala.ac.id)",Kabupaten Tanah Laut,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=537
vokasi,2552,"POLITEKNIK NEGERI NUNUKAN
(http://pnn.ac.id/)",Kabupaten Nunukan,Kalimantan Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=552
vokasi,2561,"POLITEKNIK PERTANIAN NEGERI SAMARINDA
(https://politanisamarinda.ac.id/)",Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=561
vokasi,2562,"POLITEKNIK NEGERI SAMARINDA
(https://pmb.polnes.ac.id/)",Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=562
vokasi,2563,"POLITEKNIK NEGERI BALIKPAPAN
(https://pmb.poltekba.ac.id/)",Kota Balikpapan,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=563
vokasi,2617,"POLITEKNIK NEGERI BALI
(https://pnb.ac.id/)",Kabupaten Badung,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=617
vokasi,2641,"POLITEKNIK NEGERI KUPANG
(https://sidalang.pnk.ac.id/login)",Kota Kupang,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=641
vokasi,2642,"POLITEKNIK PERTANIAN NEGERI KUPANG
(http://pmb.politanikoe.ac.id/)",Kota Kupang,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=642
vokasi,2716,"POLITEKNIK NEGERI UJUNG PANDANG
(https://pmb.poliupg.ac.id/pengumuman)",Kota Makassar,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=716
vokasi,2717,"POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN
(https://polipangkep.ac.id/)",Kabupaten Pangkaje,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=717
vokasi,2727,"POLITEKNIK NEGERI MANADO
(https://polimdo.ac.id/)",Kota Manado,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=727
vokasi,2728,"POLITEKNIK NEGERI NUSA UTARA
(https://www.polnustar.ac.id/)",Kabupaten Kepulauan Sangihe,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=728
vokasi,2831,"POLITEKNIK NEGERI AMBON
(http://akademik.polnam.ac.id)",Kota Ambon,Maluku,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=831
vokasi,2832,"POLITEKNIK PERIKANAN NEGERI TUAL
(http://www.polikant.ac.id/)",Kabupaten Maluku Tenggara,Maluku,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=832
vokasi,2931,"POLITEKNIK NEGERI FAKFAK
(https://www.polinef.ac.id/)",Kabupaten Fak-Fak,Papua Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=931
